id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
386227,37038,Tyabb,outline,city,-38.259,145.189,Australia,2394,0.0050124551916884376
416464,37039,Tybee Island,usable,city,32.0067,-80.8494,United States of America,3108,0.006045324746339389
851784,37042,Tykocin,outline,city,53.2,22.77,Poland,512,0.001518925815663163
695843,37043,Tyler,usable,city,32.351,-95.301,United States of America,6604,0.010267938513882982
977328,37044,Tynda,outline,city,55.1667,124.7167,Russia,3881,0.00707819430099034
528072,37047,Tynset,outline,city,62.275278,10.8325,Norway,769,0.002126496141928428
491068,37049,Tyre,usable,city,33.270833,35.196111,Lebanon,50043,0.04082872592502582
740572,37052,Tysons Corner,usable,city,38.918611,-77.229722,United States of America,2197,0.004708670028555805
949341,37053,Tyumen,outline,city,57.15,65.5333,Russia,9577,0.013275411628896045
333051,37055,Tywyn,guide,city,52.58294,-4.08969,United Kingdom,277750,0.128896044717176
820533,37057,Tzaneen,outline,city,-23.8333,30.15,South Africa,1380,0.0033416367944589585
968436,37058,Tzintsuntzan,outline,city,19.623611111111,-101.57416666667,Mexico,1482,0.0035239078923385383
668610,37063,Uaxactun,outline,park,17.393561111111,-89.634533333333,Guatemala,8947,0.012667841302630779
411301,37065,Ubajara,outline,city,-3.85,-40.9333,Brazil,1331,0.003250501245519169
401868,37066,Ubatuba,usable,city,-23.439444,-45.07,Brazil,36135,0.032778419102011055
770207,37067,Ube,outline,city,33.95,131.25,Japan,2435,0.005073212224314965
760120,37068,Uberaba,outline,city,-19.75,-47.9333,Brazil,125,0.0003341636794458959
849750,37074,Ubon Ratchathani,usable,city,15.228056,104.859444,Thailand,92139,0.061546874050671364
979937,37076,Ubud,star,city,-8.506875,115.262358,Indonesia,214471,0.10842092472203657
129771,37077,Uçhisar,outline,city,38.6289,34.8039,Turkey,548,0.0016100613646029527
257934,37084,Uckfield,usable,city,50.97,0.1,United Kingdom,14367,0.017528403912752902
128321,37085,Ucluelet,usable,city,48.935,-125.54194444443998,Canada,14004,0.01722461874962027
555766,37088,Udaipur,usable,city,24.57769,73.69985,India,112976,0.07056929339571055
917262,37092,Uddevalla,usable,city,58.35,11.916666666666998,Sweden,6491,0.01014642444862993
276051,37095,Udhampur,outline,city,32.93,75.13,India,1265,0.003128987180266116
616650,37096,Udine,outline,city,46.0667,13.2333,Italy,16457,0.019229600826295642
129668,37106,Udon Thani,usable,city,17.4167,102.75,Thailand,54530,0.04325900723008688
516433,37110,Udumalaippettai,outline,city,10.5833,77.25,India,11551,0.01509812260769184
258071,37113,Udupi,usable,city,13.34,74.75,India,142249,0.0823561577252567
359408,37115,Udzungwa Mountains National Park,outline,park,-7.8,36.6833,Tanzania,67511,0.0499422808190048
119479,37117,Überlingen,outline,city,47.76679,9.16698,Germany,3533,0.006622516556291391
873656,37118,Ueda,outline,city,36.4,138.25,Japan,3533,0.006622516556291391
538142,37119,Uelzen,usable,city,52.964722,10.565833,Germany,2435,0.005073212224314965
895019,37121,Ufa,outline,city,54.75,55.9667,Russia,5066,0.008536363084026976
623399,37124,Uglich,outline,city,57.5333,38.3333,Russia,37733,0.03375053162403548
803334,37125,Ugo,outline,city,39.1833,140.4,Japan,729,0.0020353605929886386
785609,37126,Uig,outline,city,57.58765,-6.37424,United Kingdom,24432,0.02515341150738198
941770,37129,Uijeongbu,usable,city,37.74861110000001,127.03888899999998,South Korea,4240,0.007533872045689289
446859,37134,Uji,guide,city,34.884444,135.799722,Japan,32003,0.03019624521538368
295212,37135,Ujjain,outline,city,23.182777777778,75.77722222222201,India,13608,0.016890455070174372
754621,37138,Ujung Kulon National Park,usable,park,-6.746667,105.333611,Indonesia,106371,0.06777446989489033
462432,37142,Ukarumpa,outline,city,-6.3333,145.9,Papua New Guinea,464,0.00139741175041011
135166,37144,Ukhahlamba Drakensberg Park,outline,park,-29.4,29.52,South Africa,44725,0.037851631326326025
427737,37145,Uki,outline,city,32.645,130.686389,Japan,15102,0.018135974239018166
235327,37146,Ukiah,usable,city,39.150278,-123.207778,United States of America,2892,0.005741539583206756
532037,37155,Ulaanbaatar,guide,city,47.92,106.92,Mongolia,388469,0.16130992162342792
728701,37160,Ulaangom,outline,city,49.9833,92.0667,Mongolia,26461,0.02655082325779209
366548,37167,Ulan Ude,usable,city,51.8333,107.6,Russia,72331,0.05231180509143933
289725,37168,Ulcinj,usable,city,41.924444,19.203333,Montenegro,40689,0.03551248557020475
637946,37169,Uliastai,outline,city,47.742778,96.843333,Mongolia,11755,0.01528039370557142
802189,37170,Ulladulla,outline,city,-35.348611,150.467778,Australia,9801,0.013488061243088888
